SMM-ID,lat,long,name,city,municipality,country,rank,reference,eary_preclassic_2000bc_1000_bc,middle_preclassic_1000bc_400bc,late_preclassic_400bc_100ad,early_classic_250ad_600ad,late_classic_600ad_800ad,terminal_classic_800ad_900ad,early_postclassic_900ad_1200ad,late_postclassic_1200ad_1519ad,post_conquest_1520ad_1697ad,time_check_01,time_check_02,time_no_data_found
1,-89.81033333,18.1045,Calakmul,Champoton,Campeche,Mexico,1,Ref. Mayer 2006,,,X,X,X,X,,,,X,X,
2,-89.1176,16.76395,Caracol,,Cayo,Belize,1,Ref. Witschey 2009,,,X,X,X,X,,,,X,X,
3,-88.5686,20.68287,Chichen Itza,Tinum,Yucatan,Mexico,1,Ref. Witschey 2009,,,,,X,X,X,X,,X,X,
4,-87.73307,20.49104,Coba,Solidaridad,Quintana Roo,Mexico,1,Ref. Witschey 2001,,,X,X,X,X,X,,,X,X,
5,-93.20184,18.28007,Comalcalco,Comalcalco,Tabasco,Mexico,1,Ref. Witschey 2009,,,,X,X,X,X,X,,X,X,
6,-89.13885,14.84107,Copan,Copan Ruinas,Copan,Honduras,1,Ref. Witschey 2009,,,,X,X,X,,,,X,X,
7,-89.92307,17.75482,El Mirador,San Andres,Peten,Guatemala,1,Ref. Witschey 2009,,X,X,,,,,,,X,X,
8,-89.01710917,20.93706273,Izamal,Izamal,Yucatan,Mexico,1,Ref. Covarrubias; Villanueva 2008,,,,X,X,X,X,X,,X,X,
9,-90.549,14.63283333,Kaminaljuyu,Guatemala,Guatemala,Guatemala,1,Ref. Mayer 2006,X,X,X,X,X,X,,,,X,X,
10,-89.83778,17.67269,Nakbe,San Jose,Peten,Guatemala,1,Ref. 1991;IGM; IAH GT Map,X,X,X,,,,,,,X,X,
11,-92.04583333,17.484,Palenque,Palenque,Chiapas,Mexico,1,Ref. Mayer 2006,,,,X,X,,,,,X,X,
12,-91.26298,17.16641,Piedras Negras,La Libertad,Peten,Guatemala,1,Ref. Witschey 2009,,,X,X,X,,,,,X,X,
13,-89.62075019,20.97070437,Tiho,Merida,Yucatan,Mexico,1,Ref. Garza and Kurjack 1980,,,X,X,X,X,X,X,X,X,X,
14,-89.63163,17.21732,Tikal,Flores,Peten,Guatemala,1,Ref. 1991;IGM; IAH GT Map,,X,X,X,X,X,,,,X,X,
15,-89.77066,20.36031,Uxmal,Santa Elena,Yucatan,Mexico,1,Ref. Witschey 2009,,,,,,X,X,,,X,X,
16,-90.9675,16.89616667,Yaxchilan,Ocosingo,Chiapas,Mexico,1,Ref. Mayer 2006,,,,X,X,,,,,X,X,
17,-89.13849587,17.10291447,Actuncan,,Cayo,Belize,2,Ref. Webster et al 2004,,X,X,X,,,,,,X,X,
18,-90.19995,16.39889,Aguateca,Sayaxche,Peten,Guatemala,2,Ref. Witschey 2009,,,X,X,X,,,,,X,X,
19,-89.30182,20.94928,Ake,Tixkokob,Yucatan,Mexico,2,Ref. Witschey 2009,,,X,X,X,X,X,,,X,X,
20,-91.98773,14.34777,Alejos,Champerico,Retalhuleu,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
21,-89.93688,17.79721,Alta Mira,San Andres,Peten,Guatemala,2,Ref. 1991;IGM; IAH GT Map,X,,,,,,,,,X,X,
22,-89.40659589,17.98428295,Altar de los Reyes,Hopelchen,Campeche,Mexico,2,Ref. Sprajc,,,,,,,,,,X,X,X
